freq_aligo,totalsignal_aligo,totalsignal_baseline,totalsignal_best
1.26491e+00,5.66597e+13,2.12990e+14,5.50494e+09
1.27896e+00,5.66597e+13,1.99601e+14,5.63520e+09
1.29316e+00,5.66597e+13,1.88038e+14,5.76797e+09
1.30752e+00,5.66597e+13,1.77954e+14,5.90367e+09
1.32204e+00,5.66597e+13,1.69086e+14,6.04275e+09
1.33672e+00,5.66597e+13,1.61224e+14,6.18483e+09
1.35156e+00,5.66597e+13,1.54213e+14,6.32965e+09
1.36657e+00,5.66597e+13,1.47920e+14,6.47839e+09
1.38174e+00,5.66597e+13,1.42243e+14,6.62998e+09
1.39709e+00,5.66597e+13,1.37096e+14,6.78529e+09
1.41260e+00,5.66597e+13,1.32408e+14,6.94383e+09
1.42828e+00,5.66597e+13,1.28124e+14,7.10594e+09
1.44414e+00,5.66597e+13,1.24194e+14,7.27176e+09
1.46018e+00,5.66597e+13,1.20575e+14,7.44116e+09
1.47639e+00,5.66597e+13,1.17233e+14,7.61445e+09
1.49279e+00,5.66597e+13,1.14141e+14,7.79155e+09
1.50936e+00,5.66597e+13,1.11269e+14,7.97278e+09
1.52612e+00,5.66597e+13,1.08596e+14,8.15792e+09
1.54307e+00,5.66597e+13,1.06102e+14,8.34724e+09
1.56021e+00,5.66597e+13,1.03772e+14,8.54074e+09
1.57753e+00,5.66597e+13,1.01590e+14,8.73860e+09
1.59505e+00,5.66596e+13,9.95417e+13,8.94090e+09
1.61276e+00,5.66596e+13,9.76171e+13,9.14759e+09
1.63067e+00,5.66596e+13,9.58053e+13,9.35913e+09
1.64877e+00,5.66596e+13,9.40967e+13,9.57528e+09
1.66708e+00,5.66596e+13,9.24834e+13,9.79628e+09
1.68559e+00,5.66596e+13,9.09579e+13,1.00223e+10
1.70431e+00,5.66596e+13,8.95141e+13,1.02533e+10
1.72324e+00,5.66596e+13,8.81450e+13,1.04895e+10
1.74237e+00,5.66596e+13,8.68459e+13,1.07310e+10
1.76172e+00,5.66596e+13,8.56119e+13,1.09779e+10
1.78128e+00,5.66596e+13,8.44381e+13,1.12304e+10
1.80106e+00,5.66596e+13,8.33206e+13,1.14885e+10
1.82106e+00,5.66596e+13,8.22559e+13,1.17523e+10
1.84128e+00,5.66596e+13,8.12403e+13,1.20221e+10
1.86173e+00,5.66595e+13,8.02711e+13,1.22979e+10
1.88240e+00,5.66595e+13,7.93450e+13,1.25800e+10
1.90330e+00,5.66595e+13,7.84598e+13,1.28683e+10
1.92444e+00,5.66595e+13,7.76126e+13,1.31631e+10
1.94580e+00,5.66595e+13,7.68016e+13,1.34645e+10
1.96741e+00,5.66595e+13,7.60244e+13,1.37726e+10
1.98926e+00,5.66595e+13,7.52792e+13,1.40878e+10
2.01135e+00,5.66595e+13,7.45644e+13,1.44099e+10
2.03368e+00,5.66595e+13,7.38781e+13,1.47392e+10
2.05626e+00,5.66595e+13,7.32191e+13,1.50760e+10
2.07910e+00,5.66595e+13,7.25857e+13,1.54203e+10
2.10218e+00,5.66594e+13,7.19766e+13,1.57723e+10
2.12553e+00,5.66594e+13,7.13906e+13,1.61322e+10
2.14913e+00,5.66594e+13,7.08265e+13,1.65002e+10
2.17299e+00,5.66594e+13,7.02835e+13,1.68764e+10
2.19712e+00,5.66594e+13,6.97602e+13,1.72612e+10
2.22152e+00,5.66594e+13,6.92558e+13,1.76545e+10
2.24619e+00,5.66594e+13,6.87696e+13,1.80566e+10
2.27113e+00,5.66594e+13,6.83004e+13,1.84678e+10
2.29635e+00,5.66593e+13,6.78476e+13,1.88882e+10
2.32185e+00,5.66593e+13,6.74106e+13,1.93181e+10
2.34763e+00,5.66593e+13,6.69885e+13,1.97576e+10
2.37370e+00,5.66593e+13,6.65806e+13,2.02070e+10
2.40005e+00,5.66593e+13,6.61864e+13,2.06665e+10
2.42670e+00,5.66593e+13,6.58055e+13,2.11363e+10
2.45365e+00,5.66593e+13,6.54369e+13,2.16167e+10
2.48090e+00,5.66593e+13,6.50805e+13,2.21078e+10
2.50844e+00,5.66592e+13,6.47355e+13,2.26101e+10
